1.49,4.35,7.32,0
2.89,3.38,2.51,1
2.32,3.34,3.25,0
2.33,3.34,3.22,0
1.32,5.49,10.02,1
1.11,10.06,25.25,1
3.86,3.87,1.91,0
3.90,3.68,1.95,1
3.38,3.31,2.25,0
1.57,3.92,6.67,1
2.77,3.21,2.71,0
1.59,3.98,6.17,1
3.36,3.34,2.25,1
5.22,4.17,1.64,0
9.32,4.61,1.39,1
4.44,3.88,1.79,1
1.78,3.67,4.77,1
3.46,3.09,2.33,0
2.80,3.63,2.44,1
1.96,3.50,4.05,0
1.11,10.13,27.25,1
2.01,3.36,4.10,0
1.76,3.45,5.44,1
1.59,4.17,5.72,1
1.79,3.58,4.92,0
2.21,3.42,3.37,0
2.52,3.41,2.85,1
1.75,3.84,4.81,1
11.37,5.22,1.31,0
1.07,13.62,30.29,1
2.17,3.15,3.79,0
3.83,3.69,1.96,0
1.79,3.48,5.16,0
4.97,4.33,1.65,1
2.75,3.50,2.56,0
6.27,4.12,1.57,1
2.31,2.97,3.68,0
2.80,3.22,2.68,0
2.24,3.27,3.47,1
1.39,4.63,9.36,1
1.24,6.50,12.82,0
2.11,3.46,3.60,1
2.72,3.21,2.76,0
2.30,3.46,3.16,1
2.46,3.06,3.25,1
1.47,4.72,6.59,0
2.78,3.48,2.55,0
1.66,4.15,5.11,1
6.14,3.93,1.60,0
1.09,11.37,28.82,0
2.76,3.16,2.76,0
3.95,3.51,1.99,1
1.92,3.42,4.34,0
1.40,5.10,7.59,0
6.44,4.45,1.51,0
5.21,3.91,1.69,1
3.20,3.37,2.32,1
19.64,8.31,1.15,1
2.09,3.30,3.83,0
2.78,3.40,2.57,0
1.69,3.59,5.81,1
1.18,7.47,16.94,1
1.59,3.91,6.36,0
2.00,3.26,4.24,1
2.09,3.45,3.66,1
1.73,3.53,5.50,0
2.37,3.35,3.12,1
1.14,8.38,20.89,1
3.39,3.10,2.35,0
1.08,12.14,27.88,1
4.26,3.78,1.85,1
3.02,3.55,2.35,1
4.60,3.57,1.84,1
6.29,3.94,1.59,0
6.01,4.35,1.55,1
5.24,3.93,1.68,1
2.15,3.42,3.54,1
1.30,5.79,9.87,0
2.52,3.21,3.03,0
1.58,3.82,7.00,0
7.58,4.75,1.43,1
1.11,9.97,24.16,1
2.57,3.26,2.89,0
2.57,3.28,2.88,1
2.18,3.23,3.66,1
6.20,4.08,1.57,1
2.35,3.29,3.21,1
1.36,5.32,8.17,1
2.63,3.43,2.69,1
2.40,2.97,3.48,0
1.14,8.70,20.32,0
2.32,3.23,3.31,1
11.01,5.67,1.29,0
7.73,5.11,1.39,0
5.73,3.56,1.71,1
2.42,3.04,3.32,1
1.08,12.08,33.17,1
3.24,3.09,2.43,0
1.83,3.76,4.36,1
1.83,3.52,4.72,1
2.14,3.34,3.65,0
1.26,6.18,11.64,1
2.08,3.52,3.59,1
4.26,3.96,1.81,0
1.23,6.75,12.35,1
2.01,3.19,4.36,0
1.86,3.59,4.48,0
2.54,3.38,2.84,0
6.72,3.90,1.57,1
4.48,3.47,1.89,1
2.48,3.09,3.19,0
2.38,3.20,3.25,1
1.55,3.93,7.14,1
